Sch Src Name,Maincampus,2020
FEATHER RIVER COLLEGE,Santa Cruz,1
EVERGREEN VALLEY COLLEGE,Santa Cruz,86
CABRILLO COLLEGE,Santa Cruz,214
COLLEGE OF THE SEQUOIAS,Santa Barbara,40
OXNARD COLLEGE,Santa Barbara,44
MONTEREY PENINSULA COLLEGE,Santa Barbara,72
ALLAN HANCOCK COLLEGE,Santa Barbara,73
CUESTA COLLEGE,Santa Barbara,99
VENTURA COLLEGE,Santa Barbara,135
MOORPARK COLLEGE,Santa Barbara,377
SANTA BARBARA CITY COLLEGE,Santa Barbara,797
WEST HILLS COLLEGE COALINGA,San Diego,7
COPPER MOUNTAIN COLLEGE,San Diego,8
CERRO COSO COMMUNITY COLLEGE,San Diego,14
IMPERIAL VALLEY COLLEGE,San Diego,57
CUYAMACA COLLEGE,San Diego,69
SOUTHWESTERN COLLEGE,San Diego,136
GROSSMONT CMTY COLLEGE,San Diego,145
SAN DIEGO CITY COLLEGE,San Diego,152
PALOMAR COLLEGE,San Diego,203
SAN DIEGO MIRAMAR COLLEGE,San Diego,263
SAN DIEGO MESA COLLEGE,San Diego,334
MIRACOSTA COLLEGE,San Diego,382
FOOTHILL COLLEGE,San Diego,425
DE ANZA COLLEGE,San Diego,946
LOS ANGELES HARBOR COLLEGE,Riverside,50
CRAFTON HILLS COLLEGE,Riverside,63
VICTOR VALLEY COLLEGE,Riverside,67
SAN BERNARDINO VALLEY COLLEGE,Riverside,68
MORENO VALLEY COLLEGE,Riverside,104
COLLEGE OF THE DESERT,Riverside,110
NORCO COLLEGE,Riverside,141
CHAFFEY COLLEGE,Riverside,183
MOUNT SAN JACINTO COLLEGE,Riverside,245
RIVERSIDE CITY COLLEGE,Riverside,404
FRESNO CITY COLLEGE,Merced,50
MERCED COLLEGE,Merced,85
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,18
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,39
LOS ANGELES MISSION COLLEGE,Los Angeles,42
ANTELOPE VALLEY COLLEGE,Los Angeles,88
WEST LOS ANGELES COLLEGE,Los Angeles,102
CERRITOS COLLEGE,Los Angeles,128
LOS ANGELES CITY COLLEGE,Los Angeles,140
LOS ANGELES VALLEY COLLEGE,Los Angeles,195
COLLEGE OF THE CANYONS,Los Angeles,259
GLENDALE COMMUNITY COLLEGE,Los Angeles,312
EAST LOS ANGELES COLLEGE,Los Angeles,317
LOS ANGELES PIERCE COLLEGE,Los Angeles,383
EL CAMINO COLLEGE,Los Angeles,389
MT. SAN ANTONIO COLLEGE,Los Angeles,506
PASADENA CITY COLLEGE,Los Angeles,938
SANTA MONICA COLLEGE,Los Angeles,1186
COASTLINE COMMUNITY COLLEGE,Irvine,44
RIO HONDO COLLEGE,Irvine,108
GOLDEN WEST COLLEGE,Irvine,111
CYPRESS COLLEGE,Irvine,120
SANTA ANA COLLEGE,Irvine,123
LONG BEACH CITY COLLEGE,Irvine,150
SANTIAGO CANYON COLLEGE,Irvine,160
CITRUS COLLEGE,Irvine,195
FULLERTON COLLEGE,Irvine,249
SADDLEBACK COLLEGE,Irvine,400
ORANGE COAST COLLEGE,Irvine,473
IRVINE VALLEY COLLEGE,Irvine,750
COLLEGE OF THE SISKIYOUS,Davis,3
WEST HILLS COLLEGE LEMOORE,Davis,9
MENDOCINO COLLEGE,Davis,17
COLLEGE OF THE REDWOODS,Davis,17
COLUMBIA COLLEGE,Davis,18
LAKE TAHOE COMMUNITY COLLEGE,Davis,37
YUBA COLLEGE,Davis,38
BUTTE COLLEGE,Davis,45
SHASTA COLLEGE,Davis,52
SAN JOSE CITY COLLEGE,Davis,60
WOODLAND COMMUNITY COLLEGE,Davis,65
MISSION COLLEGE,Davis,70
COLLEGE OF ALAMEDA,Davis,70
BAKERSFIELD COLLEGE,Davis,70
CLOVIS COMMUNITY COLLEGE,Davis,73
HARTNELL COLLEGE,Davis,75
CONTRA COSTA COLLEGE,Davis,82
MODESTO JUNIOR COLLEGE,Davis,92
SAN JOAQUIN DELTA COLLEGE,Davis,102
SOLANO COMMUNITY COLLEGE,Davis,109
NAPA VALLEY COLLEGE,Davis,113
LOS MEDANOS COLLEGE,Davis,124
SKYLINE COLLEGE,Davis,135
COSUMNES RIVER COLLEGE,Davis,138
FOLSOM LAKE COLLEGE,Davis,141
WEST VALLEY COLLEGE,Davis,152
LAS POSITAS COLLEGE,Davis,203
SIERRA COLLEGE,Davis,216
SANTA ROSA JUNIOR COLLEGE,Davis,225
AMERICAN RIVER COLLEGE,Davis,249
SACRAMENTO CITY COLLEGE,Davis,254
OHLONE COLLEGE,Davis,275
COLLEGE OF SAN MATEO,Davis,275
CITY COLLEGE SAN FRANCISCO,Davis,364
DIABLO VALLEY COLLEGE,Davis,930
MERRITT COLLEGE,Berkeley,45
COLLEGE OF MARIN,Berkeley,113
LANEY COLLEGE,Berkeley,143
CHABOT COLLEGE,Berkeley,190
BERKELEY CITY COLLEGE,Berkeley,308
TAFT COLLEGE,Tie,4
LASSEN COLLEGE,Tie,4
COMPTON COLLEGE,Tie,7
BARSTOW COLLEGE,Tie,14
PORTERVILLE COLLEGE,Tie,15
REEDLEY COLLEGE,Tie,20
GAVILAN COLLEGE,Tie,40
CANADA COLLEGE,Tie,78
